ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300059.SZ,20201030,24.28,24.45,23.31,23.38,24.37,-0.99,-4.0624,2216718.41,5288414.559
300059.SZ,20201029,24.1,24.63,24,24.37,24.34,0.03,0.1233,1873138.44,4556241.07
300059.SZ,20201028,24.26,24.53,24.03,24.34,24.33,0.01,0.0411,1650809.97,4011895.385
300059.SZ,20201027,24.15,24.46,24.11,24.33,24.33,0,0,1304906.78,3169121.68
300059.SZ,20201026,25.12,25.14,23.9,24.33,25.19,-0.86,-3.4141,2483321.07,6063700.399
300059.SZ,20201023,26.12,26.23,25.19,25.19,26.09,-0.9,-3.4496,1608701.51,4140546.838
300059.SZ,20201022,26.1,26.48,25.65,26.09,26.35,-0.26,-0.9867,1934488.36,5037179.137
300059.SZ,20201021,26.79,26.8,26.13,26.35,26.75,-0.4,-1.4953,1802025,4754483.303
300059.SZ,20201020,25.99,26.87,25.97,26.75,25.97,0.78,3.0035,2649678.43,7021514.214
300059.SZ,20201019,26.98,27,25.95,25.97,25.98,-0.01,-0.0385,2662700.21,7045047.518
300059.SZ,20201016,25.66,26.12,25.66,25.98,25.72,0.26,1.0109,1578491.15,4093014.633
300059.SZ,20201015,25.91,26.39,25.7,25.72,25.89,-0.17,-0.6566,1643184.94,4268653.101
300059.SZ,20201014,25.98,26.08,25.65,25.89,26.12,-0.23,-0.8806,1556796.61,4021794.281
300059.SZ,20201013,25.7,26.2,25.62,26.12,26.09,0.03,0.115,2343422.18,6074662.079
300059.SZ,20201012,24.86,26.2,24.72,26.09,24.62,1.47,5.9708,3626167.89,9324717.777
300059.SZ,20201009,24.49,24.89,24.38,24.62,23.99,0.63,2.6261,1850056.86,4556747.263
300059.SZ,20200930,24.36,24.46,23.84,23.99,24.21,-0.22,-0.9087,1332425.95,3220832.073
300059.SZ,20200929,24.05,24.48,24.01,24.21,23.87,0.34,1.4244,1663211.6,4036961.719
300059.SZ,20200928,23.87,24.07,23.72,23.87,24.02,-0.15,-0.6245,1154116.76,2759713.191
300059.SZ,20200925,23.87,24.29,23.77,24.02,23.75,0.27,1.1368,1673755.26,4022372.003
300059.SZ,20200924,24.01,24.38,23.7,23.75,24.13,-0.38,-1.5748,1711937.34,4115023.319
300059.SZ,20200923,24.32,24.46,23.96,24.13,24.31,-0.18,-0.7404,1596154.63,3861011.904
300059.SZ,20200922,24.21,25.14,24.14,24.31,24.45,-0.14,-0.5726,2486340.66,6105122.974
300059.SZ,20200921,25.5,25.65,24.44,24.45,25,-0.55,-2.2,3280106.43,8163031.026
300059.SZ,20200918,23.48,25.5,23.29,25,23.47,1.53,6.519,4984635.22,12163429.17
300059.SZ,20200917,23.15,23.78,22.82,23.47,23.32,0.15,0.6432,2162309.93,5023442.589
300059.SZ,20200916,23.6,23.84,23.14,23.32,23.71,-0.39,-1.6449,1807952.85,4246935.48
300059.SZ,20200915,23.61,23.78,23.35,23.71,23.61,0.1,0.4235,1610937.23,3803286.775
300059.SZ,20200914,23.64,23.84,23.3,23.61,23.46,0.15,0.6394,1748301.08,4120776.484
300059.SZ,20200911,23.1,23.56,23,23.46,23.2,0.26,1.1207,1972560.53,4609583.38
300059.SZ,20200910,24.21,24.46,23.11,23.2,23.96,-0.76,-3.172,2680155.06,6412331.886
300059.SZ,20200909,24.7,24.9,23.81,23.96,25.01,-1.05,-4.1983,2945450.55,7171461.032
300059.SZ,20200908,24.76,25.3,24.26,25.01,24.6,0.41,1.6667,2983929.04,7399300.033
300059.SZ,20200907,25.75,25.92,24.41,24.6,25.91,-1.31,-5.056,3917030.19,9849899.634
300059.SZ,20200904,25.61,26.07,25.51,25.91,26.33,-0.42,-1.5951,2148254.32,5553634.544
300059.SZ,20200903,26.8,27.19,26.14,26.33,26.84,-0.51,-1.9001,3643950.51,9704599.615
300059.SZ,20200902,26.3,27.06,26.05,26.84,26.29,0.55,2.0921,4272347.58,11373398.26
300059.SZ,20200901,26.15,26.38,25.73,26.29,26.16,0.13,0.4969,2221475.95,5788380.136
300059.SZ,20200831,26.59,27.18,26.12,26.16,26.33,-0.17,-0.6457,4010512.82,10703604.36
300059.SZ,20200828,25.26,26.63,25.01,26.33,25.52,0.81,3.174,3936775.02,10165895.4
